node,degree,weighted_degree,betweenness,pagerank,closeness,community
interferometer,1,15.0,0.0,0.010526315789473684,0.1595744680851064,3
mach-zehnder,1,15.0,0.0,0.010526315789473684,0.1595744680851064,3
nonlinear optics,1,18.0,0.0,0.003281976554356766,6.338833885905614,0
microwave photonics,1,15.0,0.0,0.010526315789473684,0.1595744680851064,4
photonic signal processing,1,15.0,0.0,0.010526315789473684,0.1595744680851064,4
computer architecture,1,14.0,0.0,0.0030057597664002772,5.928752237509765,0
switch,1,20.0,0.0,0.003205703528313653,7.422205341246666,2
filter,1,21.0,0.0,0.0032870413363082825,7.570127849714735,2
optimization,1,14.0,0.0,0.00454774630407217,3.7843747842143913,0
optical feedback,1,13.0,0.0,0.005249378634055498,3.052125846413684,1
msd adder,1,13.0,0.0,0.0026363388723512427,6.079013262244696,2
optical neural,1,16.0,0.0,0.003251981441098869,5.38154161637696,0
neuromorphic,1,12.0,0.0,0.0028019294238318167,5.499553147259678,0
